"Постійне населення (осіб) - Регіон, Рік, Вікові групи, Тип поселення ,"
"Стать"

" "	" "	" "	"Міські поселення та сільська місцевість"	" "	" "
" "	" "	" "	"Обидві статі"	" чоловіки"	" жінки"
"Україна"
" "	"2012"
" "	" "	"80 і старше"	1602315	418850	1183465
" "	"2014"
" "	" "	"0"	500484	257889	242595
" "	" "	"1"	516810	266548	250262
" "	" "	"2"	498240	256882	241358
" "	" "	"3"	493186	254179	239007
" "	" "	"4"	507595	262046	245549
" "	" "	"5"	505260	260462	244798
" "	" "	"6"	466967	239891	227076
" "	" "	"7"	455060	233152	221908
" "	" "	"8"	420812	216593	204219
" "	" "	"9"	422107	216904	205203
" "	" "	"10"	403163	206907	196256
" "	" "	"11"	384829	198396	186433
" "	" "	"12"	369864	190331	179533
" "	" "	"13"	380885	195817	185068
" "	" "	"14"	385427	197721	187706
" "	" "	"15"	409399	209022	200377
" "	" "	"16"	427112	218749	208363
" "	" "	"17"	462666	237163	225503
" "	" "	"18"	483504	248512	234992
" "	" "	"19"	505129	260300	244829
" "	" "	"20"	534986	275158	259828
" "	" "	"21"	575090	295535	279555
" "	" "	"22"	615346	316052	299294
" "	" "	"23"	646632	331823	314809
" "	" "	"24"	676584	346383	330201
" "	" "	"25"	719107	367417	351690
" "	" "	"26"	742674	379178	363496
" "	" "	"27"	786978	400805	386173
" "	" "	"28"	763407	387768	375639
" "	" "	"29"	779918	396090	383828
" "	" "	"30"	791715	402193	389522
" "	" "	"31"	721483	367334	354149
" "	" "	"32"	698055	351448	346607
" "	" "	"33"	711629	357498	354131
" "	" "	"34"	671304	336227	335077
" "	" "	"35"	666215	331379	334836
" "	" "	"36"	644369	318698	325671
" "	" "	"37"	677386	334800	342586
" "	" "	"38"	663157	325320	337837
" "	" "	"39"	645479	315641	329838
" "	" "	"40"	628300	306580	321720
" "	" "	"41"	647506	314187	333319
" "	" "	"42"	640779	311296	329483
" "	" "	"43"	634139	307257	326882
" "	" "	"44"	584185	280695	303490
" "	" "	"45"	592680	283837	308843
" "	" "	"46"	583990	277439	306551
" "	" "	"47"	602073	284282	317791
" "	" "	"48"	596037	279313	316724
" "	" "	"49"	621644	289351	332293
" "	" "	"50"	661870	305482	356388
" "	" "	"51"	677766	310828	366938
" "	" "	"52"	699967	320129	379838
" "	" "	"53"	722830	328553	394277
" "	" "	"54"	687979	308694	379285
" "	" "	"55"	679519	302632	376887
" "	" "	"56"	649023	285917	363106
" "	" "	"57"	643337	280605	362732
" "	" "	"58"	597886	257708	340178
" "	" "	"59"	611079	260524	350555
" "	" "	"60"	554564	233650	320914
" "	" "	"61"	575328	239926	335402
" "	" "	"62"	567535	235560	331975
" "	" "	"63"	556763	228245	328518
" "	" "	"64"	570271	229076	341195
" "	" "	"65"	470113	187222	282891
" "	" "	"66"	413630	161457	252173
" "	" "	"67"	394098	149948	244150
" "	" "	"68"	255747	94415	161332
" "	" "	"69"	290154	104710	185444
" "	" "	"70"	256589	91375	165214
" "	" "	"71"	326236	113936	212300
" "	" "	"72"	422681	146984	275697
" "	" "	"73"	423065	145047	278018
" "	" "	"74"	442285	145579	296706
" "	" "	"75"	446659	144735	301924
" "	" "	"76"	441667	143457	298210
" "	" "	"77"	341987	110720	231267
" "	" "	"78"	268280	86018	182262
" "	" "	"79"	190401	60132	130269
" "	" "	"80 і старше"	1545239	406576	1138663
" "	"2015"
" "	" "	"0"	463048	238366	224682
" "	" "	"1"	471667	242999	228668
" "	" "	"2"	487489	251352	236137
" "	" "	"3"	470674	242605	228069
" "	" "	"4"	465766	239837	225929
" "	" "	"5"	479839	247710	232129
" "	" "	"6"	477711	246323	231388
" "	" "	"7"	441282	226701	214581
" "	" "	"8"	431088	221015	210073
" "	" "	"9"	398992	205474	193518
" "	" "	"10"	400157	205524	194633
" "	" "	"11"	382164	196157	186007
" "	" "	"12"	365500	188441	177059
" "	" "	"13"	351654	180987	170667
" "	" "	"14"	362140	186143	175997
" "	" "	"15"	366788	188196	178592
" "	" "	"16"	390627	199463	191164
" "	" "	"17"	408118	209068	199050
" "	" "	"18"	443864	227882	215982
" "	" "	"19"	464199	238964	225235
" "	" "	"20"	483467	249362	234105
" "	" "	"21"	511154	262876	248278
" "	" "	"22"	548143	281665	266478
" "	" "	"23"	584697	300231	284466
" "	" "	"24"	613202	314504	298698
" "	" "	"25"	640357	327580	312777
" "	" "	"26"	679712	346992	332720
" "	" "	"27"	701238	357886	343352
" "	" "	"28"	744255	378677	365578
" "	" "	"29"	721602	366153	355449
" "	" "	"30"	738136	374537	363599
" "	" "	"31"	747421	378603	368818
" "	" "	"32"	679908	344736	335172
" "	" "	"33"	658374	330345	328029
" "	" "	"34"	672724	337366	335358
" "	" "	"35"	634644	317412	317232
" "	" "	"36"	629955	312900	317055
" "	" "	"37"	608762	300708	308054
" "	" "	"38"	641010	316340	324670
" "	" "	"39"	627781	307408	320373
" "	" "	"40"	610769	298099	312670
" "	" "	"41"	595104	289983	305121
" "	" "	"42"	612953	297047	315906
" "	" "	"43"	607062	294493	312569
" "	" "	"44"	601018	290932	310086
" "	" "	"45"	552110	264845	287265
" "	" "	"46"	560016	267703	292313
" "	" "	"47"	551663	261554	290109
" "	" "	"48"	567394	267525	299869
" "	" "	"49"	560689	261977	298712
" "	" "	"50"	584673	271209	313464
" "	" "	"51"	622484	286262	336222
" "	" "	"52"	635389	290106	345283
" "	" "	"53"	657082	299243	357839
" "	" "	"54"	678597	307062	371535
" "	" "	"55"	644613	287949	356664
" "	" "	"56"	636565	281892	354673
" "	" "	"57"	606224	265436	340788
" "	" "	"58"	599637	259745	339892
" "	" "	"59"	555880	237953	317927
" "	" "	"60"	567400	240081	327319
" "	" "	"61"	513604	214295	299309
" "	" "	"62"	532451	219481	312970
" "	" "	"63"	525751	215888	309863
" "	" "	"64"	515444	209135	306309
" "	" "	"65"	526907	209290	317617
" "	" "	"66"	434510	170980	263530
" "	" "	"67"	379758	146247	233511
" "	" "	"68"	362327	135885	226442
" "	" "	"69"	235161	85535	149626
" "	" "	"70"	267330	94676	172654
